Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
7/1/2018,45265,120484,274813,4209,211
7/2/2018,58633,130122,275016,2702,241
7/3/2018,54882,113998,275157,2358,199
7/4/2018,48368,136287,275304,5662,250
7/5/2018,59471,133659,275487,3344,264
7/6/2018,49504,111660,275614,2650,189
7/7/2018,60916,173852,275793,7284,349
7/8/2018,60486,171826,275988,6667,310
7/9/2018,70063,153650,276203,3103,283
7/10/2018,72501,147441,276399,2999,227
7/11/2018,73011,163349,276553,3049,170
7/12/2018,74857,161182,276703,3520,231
7/13/2018,72113,156285,276858,3998,294
7/14/2018,62556,157266,277000,7241,334
7/15/2018,52295,132234,277133,5121,248
7/16/2018,67072,146307,277344,3101,278
7/17/2018,48495,97913,277466,1558,129
7/18/2018,75706,169481,277703,3578,247
7/19/2018,78004,141327,277891,3938,280
7/20/2018,74539,136511,278052,4590,275
7/21/2018,53651,114977,278195,6266,309
7/22/2018,44284,87253,278338,4316,244
7/23/2018,53074,88170,278458,2277,152
7/24/2018,69754,117924,278651,2957,162
7/25/2018,42988,66587,278742,1474,124
7/26/2018,71065,122885,278874,3321,252
7/27/2018,49224,82987,278993,2526,251
7/28/2018,61543,129505,279147,7004,361
7/29/2018,63472,137343,279321,7244,250
7/30/2018,69512,123639,279509,3490,333
7/31/2018,76253,134233,279702,3637,246
8/1/2018,64467,106881,279888,2673,185
8/2/2018,69711,118282,280110,2998,217
8/3/2018,61962,105765,280279,3145,247
8/4/2018,51200,104541,280498,5352,198
8/5/2018,58379,122656,280721,6289,309
8/6/2018,65686,112585,280922,3022,281
8/7/2018,64351,106678,281097,2640,201
8/8/2018,70577,120473,281275,2911,267
8/9/2018,71976,124150,281441,3379,238
8/10/2018,69617,123534,281572,4266,280
8/11/2018,36607,69505,281689,2994,141
8/12/2018,59834,125265,281881,6407,281
8/13/2018,44273,70501,281991,1563,82
8/14/2018,63733,107144,282169,2592,211
8/15/2018,73124,128453,282317,3565,266
8/16/2018,70825,123444,282471,3511,276
8/17/2018,63316,109405,282583,3563,232
8/18/2018,57284,125508,282795,6672,351
8/19/2018,45874,86651,282943,3926,155
8/20/2018,67589,118793,283162,3312,224
8/21/2018,75214,132261,283358,3683,257
8/22/2018,72614,125978,283543,3366,225
8/23/2018,73877,130310,283720,3975,331
8/24/2018,72894,132952,283884,4794,320
8/25/2018,64683,140537,284066,7535,345
8/26/2018,60954,132223,284268,6928,302
8/27/2018,67630,116967,284457,3350,242
8/28/2018,66638,110486,284667,2814,150
8/29/2018,65903,107006,284791,2766,171
8/30/2018,67900,113385,284938,3218,164
8/31/2018,58922,97818,285087,3186,180
9/1/2018,54318,116904,285245,6711,439
9/2/2018,60828,140923,285368,5562,292
9/3/2018,55067,117164,285609,6239,279
9/4/2018,68655,114264,285867,2793,215
9/5/2018,74981,124919,286102,2934,191
9/6/2018,70264,113123,286304,2678,207
9/7/2018,74586,127470,286475,3523,227
9/8/2018,58284,111254,286637,5442,270
9/9/2018,19950,30544,286752,895,16
9/10/2018,23949,32472,286847,463,26
9/11/2018,66552,109380,286985,2456,193
9/12/2018,53241,82748,287120,1650,115
9/13/2018,74054,123401,287262,2874,197
9/14/2018,74330,128288,287412,3623,298
9/15/2018,71185,149524,287622,7570,353
9/16/2018,69515,150281,287897,7410,270
9/17/2018,71340,118809,288137,2914,162
9/18/2018,53077,82768,288266,1433,74
9/19/2018,74372,129089,288450,3529,290
9/20/2018,76803,129385,288599,3130,235
9/21/2018,74940,128273,288719,3677,224
9/22/2018,69133,142121,289160,7511,298
9/23/2018,55494,104944,289370,4716,184
9/24/2018,71631,115888,289524,2615,289
9/25/2018,25430,35795,289591,506,65
9/26/2018,68007,110772,289698,2423,296
9/27/2018,75370,126480,289829,3044,399
9/28/2018,57230,90249,289911,1986,296
9/29/2018,69321,145920,290170,6960,906
9/30/2018,66224,139423,290467,6367,675
